feature,importance
MA_5,0.4715760519116947
High,0.2509078248077268
Close,0.17438839887956414
Adj Close,0.07130412353584974
Low,0.01541668979054649
Open,0.0030161051575287494
Close_Lag_1,0.002735202270123089
Volume_MA_5,0.0019226983845729302
Volatility_10,0.001174182257912379
Volume,0.0009556210418578868
MA_10,0.0008898935373657127
Volume_Lag_1,0.0007586533734225329
Upper_Shadow,0.000755345841258537
MA_20,0.0007264910228654808
Volume_Ratio,0.0006841577587766199
Price_Range,0.0005424462763308188
Lower_Shadow,0.0005065859392060552
Volatility_5,0.0005018532346515044
Close_Lag_2,0.00047150034671958124
Price_Change,0.00039828044432190293
Price_Change_Pct,0.0003678941877044986
